Andrenidae
"   Andrena banchan Xu and Tadauchi, 2009"
"   Andrena banffensis Viereck, 1924 -- Andrena (Andrena) banffensis Viereck, 1924"
"   Andrena banksi Malloch, 1917"
"   Andrena barbara Bouseman and LaBerge, 1979"
"   Andrena barbareae Panzer, 1805 -- Andrena fumipennis Schmiedeknecht, 1880; Andrena cziblesana Zilahi-Kiss, 1915"
"   Andrena barberi Cockerell, 1898"
"   Andrena barbilabris (Kirby, 1802) -- Apis sericea_homonym Christ, 1791; Melitta barbilabris Kirby, 1802; Melitta albicrus Kirby, 1802; Andrena albo-cincta Zetterstedt, 1838; Andrena albocincta Zetterstedt, 1838; Andrena barbatula Zetterstedt, 1838; Andrena parumpunctata Schenck, 1853; Andrena placida Smith, 1853; Andrena angustipes Schenck, 1867; Andrena ciliata_homonym Schenck, 1869; Andrena macilenta Provancher, 1888; Andrena macgillivrayi Cockerell, 1897; Andrena salicacea Robertson, 1900; Andrena sapellonis Cockerell, 1900; Andrena pauperata Pérez, 1902; Andrena ciliatula Viereck, 1916, replacement name; Andrena sericea var malaisei Alfken, 1929; Andrena (Euandrena) taisetsusana Tadauchi and Hirashima, 1987; Andrena (Andrena) dolharubang Tadauchi and Xu, 1997; Pterandrena albuginosa Viereck, 1904; Andrena (Leucandrena) albuginosa (Viereck, 1904), possible synonym"
"   Andrena basifusca Cockerell, 1930"
"   Andrena basimacula Alfken, 1929"
"   Andrena bassana Warncke, 1969 -- Andrena bassana etesiaca Warncke, 1975"
"   Andrena batangensis Xu, 1994"
"   Andrena batava Pérez, 1902"
"   Andrena bayona Warncke, 1975"
"   Andrena beameri LaBerge, 1967"
"   Andrena beijingensis Xu, 1994"
"   Andrena bellidis Pérez, 1895 -- Andrena kervillei Pérez, 1908; Andrena azuriventris Friese, 1924; Andrena bellidis acutiformis Warncke, 1980"
"   Andrena bellidoides LaBerge, 1968"
"   Andrena bendensis Donovan, 1977"
"   Andrena benefica Hirashima, 1962"
"   Andrena beneficalla Xu and Tadauchi, 2012"
"   Andrena bengasinensis Schulthess, 1924 -- Andrena opaca_homonym Friese, 1924; Andrena bengasinensis Schulthess, 1924, replacement name; Andrena rufohirta Alfken, 1929, unnecessary replacement name"
"   Andrena bentoni Cockerell, 1917"
"   Andrena berberidis Cockerell, 1905 -- Andrena milwaukeensis berberidis Cockerell, 1905"
"   Andrena berkeleyi Viereck and Cockerell, 1914"
"   Andrena bernardina Linsley, 1938 -- Andrena (Melandrena) bernardina Linsley, 1938"
"   Andrena biareola LaBerge, 1971"
"   Andrena biarmica Warncke, 1975"
"   Andrena bicarinata Morawitz, 1876 -- Andrena tuberculiventris Morawitz, 1876"
